Seq,dtv,Ka,Ks,Ka/Ks
AT1G01010-Sp01G008830,0.333333333,,,
AT1G01020-Sp01G008670,0.25,,,
AT1G01030-Sp01G008660,0.529411765,0.521695,2.90182,0.179782
AT1G01040-Sp01G008650,0.363934426,0.143627,3.90695,0.036762
AT1G01050-Sp01G008640,0.260273973,0.0812117,1.79963,0.0451269
AT1G01060-Sp01G008590,0.422077922,0.424685,2.99626,0.141739
AT1G01070-Sp01G009000,0.4,,,
AT1G01090-Sp01G008310,0.415584416,0.119408,1.87359,0.0637323
AT1G01100-Sp01G008270,0.333333333,0.192091,3.17101,0.060577
AT1G01110-Sp01G008190,0.404411765,0.266776,3.22401,0.0827467
AT1G01120-Sp01G008140,0.6,,,
AT1G01140-Sp01G008130,0.34375,0.191443,3.67887,0.0520384
AT1G01160-Sp01G008100,0.456521739,0.193255,3.49602,0.0552785
AT1G01190-Sp01G007950,0.435028249,0.226201,2.89795,0.0780556
AT1G01200-Sp01G007890,0.447368421,0.176725,3.6124,0.0489219
AT1G01210-Sp01G007830,1,,,
AT1G01220-Sp01G007810,0.428571429,,,
AT1G01225-Sp01G007800,0.444444444,,,
AT1G01230-Sp01G007780,0.412698413,0.0979852,2.39421,0.0409259
AT1G01240-Sp01G007690,0.333333333,,,
AT1G01250-Sp01G007640,0.524590164,0.226618,3.06744,0.0738784
AT1G01260-Sp01G007630,0.545454545,,,
AT1G01280-Sp01G007600,0.615384615,,,
AT1G01290-Sp01G007580,0.5,,,
AT1G01300-Sp01G007570,0.365,0.187627,3.52866,0.0531723
AT1G01320-Sp01G007460,0.343195266,0.246537,2.19611,0.112261
AT1G01340-Sp01G007380,0.590909091,,,
AT1G01350-Sp01G007350,0.666666667,,,
AT1G01360-Sp01G007330,0.380952381,0.110366,3.64509,0.0302779
AT1G01380-Sp01G007300,1,,,
AT1G01420-Sp01G007200,0.363636364,,,
AT1G01430-Sp01G007170,0.5,,,
AT1G01440-Sp01G007160,0.3125,,,
AT1G01470-Sp01G006620,0.421052632,0.334327,3.05808,0.109326
AT1G01480-Sp01G006470,0.358208955,0.215415,3.90001,0.0552346
AT1G01490-Sp01G006460,NA,,,
AT1G01510-Sp01G006450,0.705882353,,,
AT1G01520-Sp01G006440,0.6,,,
AT1G01540-Sp01G006380,0.533333333,,,
AT1G01550-Sp01G006370,0.25,,,
AT1G01560-Sp01G006360,0.412698413,0.0945726,2.20027,0.0429822
AT1G01580-Sp01G006260,0.458100559,0.326912,3.35022,0.0975794
AT1G01600-Sp01G006050,0.4375,,,
AT1G01610-Sp01G005990,0.4,,,
AT1G01620-Sp01G005960,0.407407407,0.0696875,3.03392,0.0229695
AT1G01650-Sp01G005910,0.284946237,0.172975,1.6067,0.107659
AT1G01690-Sp01G005880,0.338235294,0.44566,2.79496,0.159451
AT1G01695-Sp01G005870,0.327272727,0.590432,2.60906,0.226301
AT1G01700-Sp01G005820,0.412698413,0.191019,3.80907,0.0501483
AT1G01710-Sp01G005670,0.5,,,
AT1G01740-Sp01G005560,0.336134454,0.183541,1.80421,0.101729
AT1G01750-Sp01G005430,1,,,
AT1G01760-Sp01G005410,0.444444444,,,
AT1G01770-Sp01G005340,0.545454545,,,
AT1G01790-Sp01G005280,0.545454545,,,
AT1G01800-Sp01G005250,0.361111111,0.381489,2.73538,0.139465
AT1G07630-Sp01G010740,0.333333333,,,
AT1G07710-Sp01G010900,0.511811024,0.47795,2.51849,0.189777
AT1G07720-Sp01G010950,0.395348837,0.35209,3.41566,0.103081
AT1G07870-Sp01G010700,0.5,,,
AT1G12540-Sp01G017100,0.666666667,,,
AT1G12570-Sp01G017300,0.4375,,,
AT1G12580-Sp01G017400,0.378787879,0.274238,3.39108,0.0808704
AT1G12610-Sp01G017430,0.333333333,,,
AT1G12710-Sp01G017530,0.285714286,,,
AT1G12750-Sp01G017600,0.32183908,0.297179,2.50515,0.118627
AT1G22150-Sp01G002380,0.423312883,0.3764,2.90066,0.129764
AT1G22160-Sp01G002470,0,,,
AT1G22170-Sp01G002560,0.7,,,
AT1G22210-Sp01G002700,0.5375,0.273154,3.32693,0.0821039
AT1G22400-Sp01G002900,0.555555556,,,
AT1G32770-Sp01G008200,0.25,,,
AT1G32900-Sp01G008280,0.416666667,0.198383,3.5925,0.0552214
AT1G33020-Sp01G008350,0.5,,,
AT1G33280-Sp01G008200,0.333333333,,,
AT1G33470-Sp01G008260,0.35483871,0.494483,2.50962,0.197035
AT1G34210-Sp01G003050,0.506410256,0.343031,3.38469,0.101348
AT1G34370-Sp01G003040,0.538461538,,,
AT1G34510-Sp01G003230,0.446808511,0.63316,2.30153,0.275104
AT1G34670-Sp01G003030,0.666666667,,,
AT1G35720-Sp01G002880,0.421052632,0.245273,2.92665,0.083807
AT1G35780-Sp01G002870,0.486486486,0.312702,3.03506,0.10303
AT1G35830-Sp01G002770,0.4,0.611286,2.00834,0.304374
AT1G35910-Sp01G002700,0.408163265,0.233555,3.40474,0.0685969
AT1G63295-Sp01G005400,0.230769231,0.743708,1.956,0.380218
AT1G63420-Sp01G005420,0.461538462,,,
AT1G63470-Sp01G005530,0.370786517,0.457088,2.53877,0.180043
AT1G63500-Sp01G005560,0.625,,,
AT1G63650-Sp01G005790,0.388349515,0.417944,3.20152,0.130545
AT1G63690-Sp01G005910,0.6,,,
AT1G63710-Sp01G006050,0.251533742,0.200446,1.78212,0.112476
AT1G63800-Sp01G006110,0.438596491,0.0972885,2.22895,0.0436477
AT1G63830-Sp01G006210,0.456521739,0.186436,1.82726,0.10203
AT1G63840-Sp01G006220,0.34375,0.41487,2.66926,0.155425
AT1G63980-Sp01G018520,NA,,,
AT1G64000-Sp01G006600,0.333333333,,,
AT1G64065-Sp01G006650,0.192307692,0.742435,1.75545,0.422932
AT1G64080-Sp01G018660,0.404255319,0.645446,1.99007,0.324332
AT1G64090-Sp01G006690,0.333333333,,,
AT1G64090-Sp01G018670,0.365079365,0.236815,3.54818,0.0667428
AT1G64100-Sp01G006550,0.513888889,0.753864,2.04489,0.368658
AT1G64110-Sp01G018680,0.480349345,0.185629,3.66851,0.0506006
AT1G64180-Sp01G006850,0.333333333,,,
AT1G64230-Sp01G006950,0.431034483,0.0148169,1.49106,0.00993713
AT1G64300-Sp01G007100,0.457627119,0.345987,3.41253,0.101387
AT1G64380-Sp01G006960,0.285714286,,,
AT1G64584-Sp01G019780,0.2,0.363455,4.94057,0.0735654
AT1G64610-Sp01G019790,0.378151261,0.49304,2.95442,0.166882
AT1G64620-Sp01G019820,0.222222222,,,
AT1G64650-Sp01G019900,0.461538462,,,
AT1G64710-Sp01G020940,0.423076923,0.551425,2.26419,0.243542
AT1G64860-Sp01G021020,0.421428571,0.189206,3.32504,0.0569036
AT1G64990-Sp01G020970,0.111111111,,,
AT1G65010-Sp01G020930,0.466666667,,,
AT1G65040-Sp01G020720,0.428571429,,,
AT1G65060-Sp01G020790,0.368686869,0.186102,3.39308,0.0548474
AT1G74430-Sp01G020890,0.375,,,
AT1G74650-Sp01G020890,0.2,,,
AT1G74680-Sp01G020820,0.431034483,0.700744,2.13337,0.328468
AT1G74750-Sp01G020750,0.652173913,,,
AT1G74850-Sp01G020570,0.375,,,
AT1G75040-Sp01G020440,0.390625,0.389663,2.98633,0.130482
AT1G78090-Sp01G002700,0.480769231,0.272329,3.69908,0.0736208
AT1G78120-Sp01G002740,0.125,,,
AT1G78150-Sp01G002870,0.4,0.284294,3.05615,0.0930236
AT1G78180-Sp01G002980,0.467213115,0.273068,3.2247,0.0846802
AT1G78210-Sp01G003070,0.714285714,,,
AT1G78270-Sp01G002900,0.5,,,
AT1G78270-Sp01G003120,0.6,,,
AT1G78490-Sp01G013340,0.538461538,,,
AT1G78550-Sp01G013480,0.166666667,,,
AT1G78710-Sp01G013540,0.32,0.657607,2.28694,0.287549
AT1G78800-Sp01G013590,0.545454545,,,
